index,CashRatio,CurrentRatio,FixedAssets,ForYear,EarningsPerShare,TotalAssets,TotalCurrentAssets,TotalCurrentLiabilities,TotalEquity,Investments,NetCashFlow,ProfitMargin,TotalRevenue,EstimatedSharesOutstanding
0,53,78,13402000000,2010,-5.6,23510000000,7072000000,9011000000,-7987000000,306000000,197000000,8,24855000000,0
1,75,104,19259000000,2010,-11.25,42278000000,14323000000,13806000000,-2731000000,-1181000000,660000000,7,26743000000,0
2,60,88,23084000000,2010,4.02,43225000000,11750000000,13404000000,2021000000,1799000000,-146000000,7,42650000000,0
3,51,73,27510000000,2010,11.39,48415000000,9985000000,13605000000,5635000000,443000000,-604000000,19,40990000000,0
4,23,124,1292547000,2010,5.29,4613814000,3184200000,2559638000,1210694000,0,540210000,6,6205003000,27672156.86
5,40,144,1286034000,2010,5.36,5564774000,3989384000,2764785000,1516205000,0,514360000,6,6493814000,28884799.32
6,3,130,1432030000,2010,6.75,7962358000,4741040000,3654416000,2002912000,0,-1007800000,5,9843861000,29889378.61
7,2,130,1434577000,2010,6.45,8134565000,4940746000,3797477000,2460648000,0,-13889000,5,9737018000,29950489.24
8,93,168,16597000000,2010,40.03,2.07E+11,73286000000,43658000000,1.24E+11,-24042000000,3513000000,22,1.71E+11,30948771.27
9,40,108,20624000000,2010,6.49,2.32E+11,68531000000,63448000000,1.12E+11,-9027000000,-415000000,22,1.83E+11,31036515.68
10,52,111,22471000000,2010,9.28,2.90E+11,89378000000,80610000000,1.19E+11,-44417000000,7276000000,23,2.34E+11,31085098.04
11,85,135,27010000000,2010,8.35,3.22E+11,1.07E+11,79006000000,1.28E+11,-32022000000,-636000000,21,2.16E+11,31562595.21
12,118,227,2247000000,2010,0,27008000000,15354000000,6776000000,-350000000,-1397000000,5874000000,29,18380000000,33263184.08
13,144,259,2298000000,2010,2.58,29198000000,17848000000,6879000000,4492000000,1775000000,3694000000,22,18790000000,35943422.91
14,74,141,2485000000,2010,1.11,27513000000,16081000000,11393000000,1742000000,308000000,-1247000000,9,19960000000,36068376.07
15,77,150,2565000000,2010,3.15,53050000000,16314000000,10894000000,3945000000,29000000,51000000,23,22859000000,36526054.59
16,8,97,803561000,2010,1.88,18918638000,14393651000,14870635000,2319745000,0,164398000,0,87959167000,36632748.54
17,10,97,899582000,2010,1.22,21532183000,16800205000,17250160000,1956899000,-117794000,577507000,0,1.20E+11,36898678.41
18,10,94,1192510000,2010,-0.62,27962982000,20334488000,21578227000,616386000,-86214000,358929000,0,1.36E+11,37101449.28
19,11,90,1530682000,2010,6.73,33656200000,22851847000,25281308000,2129404000,40712000,574390000,1,1.47E+11,38493349.75
20,114,236,8063000000,2010,3.76,67235000000,31323000000,13280000000,26721000000,-3062000000,3989000000,31,19050000000,39107413.01
21,85,202,5971000000,2010,1.64,42953000000,19247000000,9507000000,25171000000,-2225000000,-7327000000,13,19657000000,39193925.23
22,43,130,7869000000,2010,1.5,41207000000,13556000000,10467000000,21526000000,4117000000,588000000,11,20247000000,42895622.9
23,67,154,5732000000,2010,2.94,41247000000,14155000000,9186000000,21211000000,-821000000,938000000,22,20405000000,42900390.63
24,208,265,659774000,2010,0.58,10380298000,4045929000,1525648000,6724634000,-309116000,-590496000,7,4055240000,43194103.19
25,150,185,785123000,2010,0.54,10785829000,4602328000,2494435000,6775905000,-312573000,282844000,6,4147065000,43294346.98
26,180,218,787421000,2010,1.26,11726472000,4821892000,2213556000,7001580000,-535197000,-240840000,13,4795511000,43598200.9
27,169,208,816264000,2010,0,12707114000,5839774000,2811635000,7424835000,-707801000,134755000,20,5854430000,45672333.85
28,821,959,508171000,2010,2.19,6381750000,5472425000,570512000,4739576000,-918720000,-136744000,26,2633689000,46160655.74
29,404,538,622422000,2010,0.35,6859690000,3811886000,709056000,4757897000,2021104000,177144000,22,2864773000,46311832.06
30,272,366,644110000,2010,0.31,7058777000,4079548000,1113585000,5072959000,152175000,315120000,20,3435092000,46520930.23
31,518,635,636116000,2010,0.96,7970278000,4974863000,782934000,5165618000,-989183000,36779000,25,3421409000,48102673.8
32,35,175,10123000000,2010,0,45136000000,29762000000,16993000000,18920000000,-445000000,850000000,2,90559000000,48480884.96
33,48,182,10137000000,2010,2.03,43752000000,28530000000,15658000000,20156000000,104000000,1407000000,1,89804000000,48629064.04
34,42,167,9851000000,2010,3.44,43997000000,26028000000,15602000000,19575000000,-105000000,-2022000000,3,81201000000,49174430.13
35,49,162,9853000000,2010,2.99,40157000000,21829000000,13505000000,17899000000,35000000,-189000000,3,67702000000,49315104.17
36,28,181,253028000,2010,8.44,12000139000,9132143000,5032777000,528487000,-1389770000,677139000,12,3641390000,49844311.8
37,33,230,299188000,2010,10.09,13244257000,10400842000,4512498000,855761000,-1453163000,76470000,11,4319063000,50000000
38,25,219,559628000,2010,8.72,20263977000,13814776000,6305483000,2396380000,-2379208000,107330000,10,5302940000,50030331.75
39,25,254,576706000,2010,8.91,22421830000,16250417000,6405559000,2010030000,-2899032000,90885000,9,6439746000,50111845.73
40,187,245,114900000,2010,1.09,4308400000,2552400000,1043700000,2043200000,-300000000,455300000,11,2312200000,50919101.43
41,212,265,130300000,2010,1.02,4595000000,2835000000,1071500000,2261500000,64900000,240800000,10,2273900000,50935516.07
42,145,191,159200000,2010,0.36,4909700000,2671300000,1400100000,2219200000,-196100000,-442400000,3,2512200000,51785714.29
43,141,188,169300000,2010,-1.46,5515300000,2993100000,1591000000,1619600000,-544100000,-57600000,13,2504100000,52050547.05
44,7,134,15348000000,2010,-4.01,22230000000,3596000000,2686000000,6616000000,-19000000,-46000000,17,5781000000,52305680.35
45,1,80,16205000000,2010,1.19,21042000000,1972000000,2461000000,6544000000,-17000000,-179000000,5,5838000000,52328024.19
46,0,75,17424000000,2010,2.42,22289000000,1694000000,2249000000,6713000000,-8000000,-25000000,10,6053000000,52545814.98
47,14,92,18799000000,2010,2.6,23640000000,1917000000,2093000000,6946000000,-2000000,287000000,10,6098000000,52739371.98
48,10,67,38763000000,2010,2.6,54367000000,4589000000,6823000000,15237000000,-180000000,58000000,8,14945000000,53003130.43
49,9,71,40997000000,2010,3.04,56414000000,4310000000,6112000000,16085000000,-112200000,-161200000,10,14813500000,53092783.51
50,8,56,43635100000,2010,3.34,59544600000,4478100000,7966600000,16820200000,-152100000,45000000,10,16378600000,53201133.14
51,9,57,46133200000,2010,0,61683100000,4072400000,7108500000,17891700000,-60000000,13900000,12,16453200000,54373024.24
52,0,0,564000000,2010,6.14,1.31E+11,0,0,15978000000,-17472000000,-208000000,11,25364000000,55000000
53,0,0,481000000,2012,6.8,1.21E+11,0,0,14620000000,-11056000000,502000000,13,23939000000,55020679.01
54,0,0,429000000,2012,6.54,1.20E+11,0,0,18347000000,-4271000000,2115000000,13,22728000000,55369127.52
55,0,0,427000000,2012,5.88,1.18E+11,0,0,17708000000,-4811000000,-308000000,12,20872000000,56996703.3
56,0,0,0,2012,0,5.49E+11,0,0,98002000000,16730000000,-260000000,5,71214000000,57776615.38
57,0,0,0,2012,6.16,5.41E+11,0,0,1.00E+11,7049000000,1114000000,13,68874000000,58061123.85
58,0,0,0,2012,5.27,5.16E+11,0,0,1.07E+11,14406000000,-571000000,12,64406000000,58094660.19
59,0,0,0,2012,1.69,4.97E+11,0,0,89658000000,8514000000,-129000000,4,58327000000,58112947.66
60,0,0,5234961000,2012,0.61,6401380000,0,0,915425000,8306000,-6653000,14,958511000,58239896.37
61,0,0,5391209000,2012,1.4,6079413000,0,0,967457000,-116098000,-28662000,21,974053000,60089864.86
62,0,0,5472779000,2012,2.06,6097028000,0,0,1227735000,26315000,-26780000,31,984363000,60566948.13
63,0,0,5529461000,2012,1.52,6144194000,0,0,1622391000,-429000,21818000,25,981310000,63204761.9
64,0,0,253630000,2012,6.38,29714689000,0,0,4833479000,-334289000,807780000,5,9047657000,64283750
65,0,0,277645000,2012,6.52,31562466000,0,0,5181307000,136941000,-398528000,5,10381653000,65504492.05
66,0,0,298414000,2012,2.08,30036402000,0,0,4523967000,236527000,-30351000,1,10325494000,65782378.1
67,0,0,343572000,2012,0,29709128000,0,0,4098100000,822048000,-256334000,8,7531780000,65862753.04
68,0,0,160400000,2012,2.08,6860500000,0,0,2085500000,0,-4000000,8,3179600000,66320000
69,0,0,195400000,2012,1.98,10010000000,0,0,3229400000,0,16300000,7,4626500000,66951851.85
70,0,0,249000000,2012,2.07,10910500000,0,0,3638300000,0,166000000,7,5392400000,66997590.36
71,0,0,377600000,2012,0,11489600000,0,0,3596600000,0,65100000,7,5594800000,67005104.41
72,216,359,345091000,2012,1.15,2600627000,728384000,202944000,2345754000,-222277000,-357208000,15,1373947000,67376611.42
73,256,391,450287000,2012,1.65,2957685000,1029714000,263166000,2629431000,-19750000,131902000,19,1577922000,67989669.42
74,227,378,601591000,2012,1.87,4001546000,1262555000,334011000,2945335000,-479392000,-95241000,17,1963874000,68055288.46
75,225,377,753180000,2012,1.8,4187925000,1253188000,332440000,3120878000,153060000,50823000,15,2197448000,68941597.8
76,124,366,1296571000,2012,3.49,3437291000,1407313000,385009000,1833598000,-26574000,8280000,12,2519154000,69150986.84
77,109,340,1357069000,2012,4.93,3584797000,1482915000,436363000,1627361000,169000,-457000,17,2394270000,69174201.9
78,218,294,1231868000,2012,1.69,5223103000,3348850000,1139886000,1359465000,-40275000,2012529000,5,2445548000,69972451.79
79,13,113,2484738000,2012,3.01,9615014000,1831003000,1616685000,3254392000,3154000,-2276034000,9,3651335000,70471794.87
80,87,116,3609000000,2012,4.47,5505000000,1737000000,1501000000,1421000000,-82000000,20000000,7,4657000000,70693512.3
81,84,112,3893000000,2012,7.26,5838000000,1762000000,1580000000,2029000000,-129000000,-42000000,10,5156000000,71048506.69
82,73,98,4299000000,2012,4.47,6064000000,1639000000,1671000000,2127000000,143000000,27000000,11,5368000000,71068637.53
83,74,92,4802000000,2012,6.61,6533000000,1663000000,1806000000,2411000000,-152000000,-34000000,15,5598000000,71766666.67
84,0,0,989000000,2012,4.71,1.27E+11,0,0,20580000000,1853000000,30000000,7,33315000000,71994871.79
85,0,0,1024000000,2012,4.87,1.24E+11,0,0,21480000000,1811000000,-131000000,7,34507000000,72142941.18
86,0,0,1031000000,2012,6.37,1.08E+11,0,0,22304000000,1531000000,-18000000,8,35239000000,72225000
87,0,0,1024000000,2012,5.12,1.05E+11,0,0,20025000000,1045000000,-162000000,6,35653000000,72541806.02
88,55,193,200200000,2012,0,2000600000,946800000,490500000,-66100000,0,-90100000,2,2069600000,72871917.81
89,55,188,207200000,2012,1.82,2015900000,1001700000,532500000,-4800000,0,63100000,8,2118300000,73089179.1
90,45,164,224800000,2012,1.6,2263000000,735100000,447100000,25600000,12300000,-90800000,7,2068100000,73159259.26
91,73,193,226600000,2012,0,2247400000,829300000,429600000,113300000,14100000,112700000,10,2238000000,73283553.88
92,260,375,201109000,2012,1.29,3317696000,2186857000,582429000,2382079000,-988497000,-459644000,16,1551346000,73395038.76
93,323,461,392248000,2012,3.32,4201962000,2796029000,606740000,3302018000,-85000000,414000000,29,2234000000,75222222.22
94,195,341,697000000,2012,0.68,13097000000,2416000000,709000000,8259000000,635000000,66000000,6,2604000000,75346973.37
95,157,313,1036000000,2012,0,13253000000,2578000000,823000000,8694000000,47000000,-44000000,13,3084000000,76631191.22
96,77,231,850000000,2012,0.21,12043000000,5642000000,2443000000,7088000000,406000000,319000000,3,7509000000,76892950.39
97,112,247,861000000,2012,0.88,13174000000,6967000000,2823000000,7868000000,67000000,1291000000,12,9072000000,77742805.76
98,131,244,892000000,2012,1.13,15308000000,9261000000,3798000000,7613000000,-62000000,1795000000,14,9659000000,78313253.01
99,103,230,937000000,2012,1.56,14588000000,8353000000,3632000000,7217000000,-156000000,-1391000000,16,10825000000,78559206.8
100,18,132,383483000,2012,1.9,5190056000,1164743000,879969000,2535151000,0,-12408000,14,3334213000,78693467.34
101,34,157,402790000,2012,2.12,5877902000,1369129000,874545000,3136121000,0,137219000,14,3594136000,78885207.1
102,40,169,448446000,2012,2.39,6420963000,1578604000,936144000,3239561000,0,82412000,15,4021964000,79328426.4
103,37,158,484548000,2012,2.46,6664530000,1619613000,1025172000,3254626000,0,3390000,15,3974295000,79366602.69
104,0,0,81500000,2012,3.36,6187100000,0,0,2084200000,-782300000,-19100000,10,1748600000,79439728.35
105,0,0,92300000,2012,6.79,6318800000,0,0,2134200000,-26300000,39200000,17,2069800000,79534013.61
106,0,0,95400000,2012,8.22,7698100000,0,0,2627000000,-1248900000,81000000,19,2404200000,80174291.94
107,0,0,114100000,2012,9.49,7784800000,0,0,2837100000,-286300000,13200000,21,2435900000,80393961.71
108,244,344,5349000000,2012,6.75,66125000000,27367000000,7947000000,22096000000,2248000000,548000000,27,18676000000,80772833.72
109,386,495,5223000000,2012,6.8,69009000000,34713000000,7008000000,25778000000,-4982000000,-74000000,26,20063000000,80779768.79
110,362,445,4907000000,2012,9.15,71449000000,38515000000,8664000000,28083000000,-4421000000,413000000,32,21662000000,80808080.81
111,340,411,4961000000,2012,0,77626000000,46010000000,11204000000,29875000000,-7677000000,-903000000,34,22991000000,81073446.33
112,0,0,0,2012,4.7,1.35E+11,0,0,9092000000,4352000000,-410000000,10,10259000000,81442632.61
113,0,0,0,2012,6.56,1.45E+11,0,0,8192000000,-743000000,261000000,12,11230000000,81715112.54
114,0,0,0,2012,8.45,1.49E+11,0,0,8124000000,-581000000,6000000,13,12296000000,81838888.89
115,0,0,0,2012,8.6,1.45E+11,0,0,7217000000,-392000000,-281000000,13,12200000000,82290000
116,70,132,5765856000,2012,1.61,14089429000,836267000,632178000,3573101000,22376000,38427000,22,2875960000,82356979.41
117,50,106,7177728000,2013,1.4,20283665000,986087000,932663000,3534165000,-5553000,-75042000,16,3361407000,82359712.23
118,25,50,7590112000,2013,2.02,21263565000,957867000,1929536000,3953560000,39515000,19916000,20,4100048000,82363977.49
119,39,83,9866424000,2013,1.42,26904272000,996468000,1200029000,6651679000,9504000,7194000,14,4771516000,82882006.92
120,54,107,10949000000,2013,0.6,40159000000,24625000000,22980000000,9746000000,-520000000,574000000,0,74452000000,83807505.07
121,62,112,16967000000,2013,-0.52,54505000000,31327000000,28089000000,10741000000,807000000,5899000000,0,88988000000,84281555.15
122,58,105,21838000000,2013,1.28,64747000000,35705000000,33887000000,13384000000,-1066000000,1333000000,1,1.07E+11,85014583.33
123,59,104,29114000000,2013,0,83402000000,45781000000,43816000000,19285000000,-3023000000,3444000000,2,1.36E+11,85161290.32
124,2,102,2235300000,2013,3.09,7914100000,3830000000,3751800000,2061700000,-41900000,-500000,2,17517600000,85347043.7
125,2,103,2422000000,2013,3.57,8399700000,3999200000,3882000000,2072100000,100000,6200000,2,19108800000,85349044.59
126,1,91,2667400000,2013,3.93,9548200000,4709700000,5167400000,2349300000,-10200000,-1300000,2,20862000000,85966932.27
127,1,81,2843200000,2013,0,10060000000,4714800000,5829200000,2310300000,-5000000,-9300000,2,21609000000,86014364.64
128,0,0,1717300000,2013,8.26,58955400000,0,0,23802700000,-3742000000,283000000,4,61497200000,86321839.08
129,0,0,1801500000,2013,8.34,59574500000,0,0,24765200000,-1504000000,-897700000,4,71023500000,86721323.53
130,0,0,1944300000,2013,9.31,61676300000,0,0,24251300000,-1007200000,564800000,3,73874100000,86790990.99
131,0,0,2019800000,2013,9.73,61717800000,0,0,23044100000,-120500000,-38200000,3,79156500000,87143364.2
132,0,0,820000000,2013,3.03,30486000000,0,0,7762000000,606000000,19000000,9,11514000000,87404504.5
133,0,0,791000000,2013,3.57,30251000000,0,0,8145000000,-96000000,186000000,9,11815000000,87600000
134,0,0,765000000,2013,4.73,29772000000,0,0,6571000000,142000000,-103000000,12,12045000000,88190954.77
135,0,0,765000000,2013,4.93,27164000000,0,0,6106000000,-37000000,10000000,12,11682000000,88425827.81
136,3,90,53280000000,2013,4.95,60737000000,4962000000,5536000000,31331000000,-3105000000,-135000000,12,16428000000,89265329.51
137,41,135,52421000000,2013,5.53,61637000000,6366000000,4700000000,33396000000,3702000000,1746000000,15,14771000000,90220125.79
138,21,175,48076000000,2013,-14.06,55952000000,6415000000,3664000000,25937000000,1262000000,-1137000000,40,12691000000,90462211.98
139,80,204,14119000000,2013,-61.2,18842000000,3752000000,1841000000,2566000000,1245000000,698000000,369,6383000000,90760233.92
140,65,125,40929000000,2013,1.58,55781000000,7108000000,5703000000,21857000000,-473000000,1227000000,5,14581000000,91129568.11
141,72,103,41589000000,2013,-3.47,60967000000,10499000000,10234000000,19725000000,-1527000000,3671000000,9,18470000000,91352009.74
142,22,95,33751000000,2013,-13.18,46331000000,3981000000,4180000000,12819000000,-3000000,-6430000000,77,8698000000,91748611.11
143,96,158,32168000000,2013,0,45564000000,5266000000,3328000000,12212000000,-1740000000,2245000000,39,7869000000,92490566.04
144,14,107,10450900000,2013,4.74,17850100000,3439100000,3227600000,7042100000,1300000,-4000000,10,10180400000,92605360.28
145,11,111,10947000000,2013,4.66,17779100000,3294800000,2963000000,7365800000,2000000,-113800000,9,10439000000,92791304.35
146,6,77,10095300000,2013,5.95,17334500000,2793500000,3644400000,7249000000,-4300000,-130200000,13,9894900000,92937808.64
147,46,131,10074400000,2013,2.92,18055300000,4317300000,3283300000,7079600000,0,1294900000,7,9524400000,93028647.21
148,106,305,417436000,2013,3.44,5215463000,2706915000,888514000,2429959000,-117800000,175700000,13,4292100000,93222354.34
149,74,196,532400000,2013,4,6168000000,3157600000,1609900000,2859500000,-53700000,196000000,14,4614700000,95331753.55
150,127,330,590700000,2013,2.26,6985900000,3452200000,1045600000,2907400000,-60200000,82100000,13,5345500000,95551501.15
151,175,382,609500000,2013,2.47,7458400000,3850000000,1008400000,3238500000,335900000,768300000,14,5568700000,95747126.44
152,31,130,18947000000,2013,0.18,40179000000,7700000000,5942000000,13199000000,-269000000,-78000000,1,23700000000,96060394.27
153,24,114,17639000000,2013,-2.14,35742000000,6969000000,6105000000,10593000000,-293000000,-424000000,10,23032000000,96187500
154,34,144,16426000000,2013,0.21,37363000000,7848000000,5458000000,12306000000,-138000000,440000000,1,23906000000,96263736.26
155,37,153,14815000000,2013,-0.31,36528000000,7953000000,5211000000,12046000000,-94000000,42000000,1,22534000000,96591970.8
156,165,237,141000000,2013,1.01,14200000000,6274000000,2652000000,11317000000,-49000000,794000000,24,4856000000,96747150.84
157,185,260,138000000,2013,0.96,14012000000,6241000000,2405000000,6622000000,376000000,451000000,22,4583000000,96986528.5
158,179,241,157000000,2013,1.14,14642000000,6541000000,2714000000,7233000000,21000000,438000000,19,4408000000,97034135.67
159,70,130,189000000,2013,1.21,15251000000,3387000000,2611000000,8068000000,0,-3025000000,19,4664000000,97351598.17
160,0,0,8015120000,2013,4.34,11160078000,0,0,6837215000,23410000,2116765000,42,1000627000,97594930.88
161,0,0,14284209000,2013,2.78,15328143000,0,0,8596132000,16164000,-2452263000,24,1462921000,97648484.85
162,0,0,14935740000,2013,5.22,16140578000,0,0,9046405000,220031000,228105000,41,1685061000,97724277.46
163,0,0,15942309000,2013,5.54,16931305000,0,0,9840526000,102599000,-108953000,40,1856028000,98029366.6
164,163,336,1460000000,2013,0,10515000000,3759000000,1119000000,4714000000,-14000000,218000000,20,6824000000,98770391.87
